No.,Time,Source,Destination,Protocol,Length,Info
9833,124.09503,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=55966 Ack=1673513 Win=3499 Len=0
9835,124.141456,172.16.64.10,10.80.0.50,TDS,93,Response
9836,124.14157,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9847,124.182391,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56005 Ack=1674679 Win=3499 Len=0
9849,124.224589,172.16.64.10,10.80.0.50,TDS,93,Response
9850,124.224702,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9858,124.265006,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56044 Ack=1675845 Win=3499 Len=0
9860,124.307487,172.16.64.10,10.80.0.50,TDS,93,Response
9861,124.307644,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9864,124.348032,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56083 Ack=1677013 Win=3499 Len=0
9865,124.390947,172.16.64.10,10.80.0.50,TDS,93,Response
9866,124.39106,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9867,124.431433,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56122 Ack=1678181 Win=3499 Len=0
9868,124.472505,172.16.64.10,10.80.0.50,TDS,93,Response
9869,124.472609,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9870,124.513143,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56161 Ack=1679349 Win=3499 Len=0
9871,124.586477,172.16.64.10,10.80.0.50,TDS,93,Response
9872,124.586591,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9873,124.587032,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56200 Ack=1680515 Win=3499 Len=0
9874,124.669083,172.16.64.10,10.80.0.50,TDS,93,Response
9875,124.669191,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9876,124.709194,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56239 Ack=1681683 Win=3499 Len=0
9877,124.752558,172.16.64.10,10.80.0.50,TDS,93,Response
9878,124.752651,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9879,124.753277,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56278 Ack=1682849 Win=3499 Len=0
9880,124.843437,172.16.64.10,10.80.0.50,TDS,93,Response
9881,124.843544,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9882,124.884296,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56317 Ack=1684015 Win=3499 Len=0
9883,124.926967,172.16.64.10,10.80.0.50,TDS,93,Response
9884,124.92711,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9885,124.967043,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56356 Ack=1685181 Win=3499 Len=0
9886,125.010631,172.16.64.10,10.80.0.50,TDS,93,Response
9887,125.010745,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9888,125.051051,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56395 Ack=1686347 Win=3499 Len=0
9889,125.122936,172.16.64.10,10.80.0.50,TDS,93,Response
9890,125.123045,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9892,125.163021,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56434 Ack=1687513 Win=3499 Len=0
9893,125.209237,172.16.64.10,10.80.0.50,TDS,93,Response
9894,125.209426,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9895,125.250395,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56473 Ack=1688679 Win=3499 Len=0
9896,125.292499,172.16.64.10,10.80.0.50,TDS,93,Response
9897,125.292659,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9899,125.333308,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56512 Ack=1689845 Win=3499 Len=0
9900,125.374587,172.16.64.10,10.80.0.50,TDS,93,Response
9901,125.374723,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9902,125.415458,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56551 Ack=1691011 Win=3499 Len=0
9903,125.457823,172.16.64.10,10.80.0.50,TDS,93,Response
9904,125.457963,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9905,125.498134,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56590 Ack=1692177 Win=3499 Len=0
9906,125.540757,172.16.64.10,10.80.0.50,TDS,93,Response
9907,125.540902,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9908,125.581046,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56629 Ack=1693343 Win=3499 Len=0
9909,125.62386,172.16.64.10,10.80.0.50,TDS,93,Response
9910,125.62396,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9911,125.664465,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56668 Ack=1694511 Win=3499 Len=0
9912,125.707401,172.16.64.10,10.80.0.50,TDS,93,Response
9913,125.707559,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9914,125.748117,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56707 Ack=1695679 Win=3499 Len=0
9918,125.792857,172.16.64.10,10.80.0.50,TDS,93,Response
9919,125.792954,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9924,125.833363,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56746 Ack=1696847 Win=3499 Len=0
9930,125.874887,172.16.64.10,10.80.0.50,TDS,93,Response
9931,125.875013,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9937,125.915035,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56785 Ack=1698015 Win=3499 Len=0
9945,125.958071,172.16.64.10,10.80.0.50,TDS,93,Response
9946,125.958215,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9947,125.998465,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56824 Ack=1699181 Win=3499 Len=0
9948,126.04181,172.16.64.10,10.80.0.50,TDS,93,Response
9949,126.041923,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9951,126.082401,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56863 Ack=1700347 Win=3499 Len=0
9953,126.123855,172.16.64.10,10.80.0.50,TDS,93,Response
9954,126.124005,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9955,126.164453,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56902 Ack=1701513 Win=3499 Len=0
9956,126.206625,172.16.64.10,10.80.0.50,TDS,93,Response
9957,126.20675,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9958,126.247253,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56941 Ack=1702679 Win=3499 Len=0
9959,126.298598,172.16.64.10,10.80.0.50,TDS,93,Response
9960,126.298721,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9962,126.339105,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=56980 Ack=1703845 Win=3499 Len=0
9968,126.381555,172.16.64.10,10.80.0.50,TDS,93,Response
9969,126.38167,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9973,126.421982,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57019 Ack=1705011 Win=3499 Len=0
9977,126.469291,172.16.64.10,10.80.0.50,TDS,93,Response
9978,126.469461,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
9982,126.510362,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57058 Ack=1706179 Win=3499 Len=0
9987,126.551441,172.16.64.10,10.80.0.50,TDS,93,Response
9988,126.551531,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9989,126.551993,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57097 Ack=1707345 Win=3499 Len=0
9993,126.633629,172.16.64.10,10.80.0.50,TDS,93,Response
9994,126.633763,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
9997,126.673978,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57136 Ack=1708511 Win=3499 Len=0
10001,126.715859,172.16.64.10,10.80.0.50,TDS,93,Response
10002,126.715968,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10008,126.756137,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57175 Ack=1709679 Win=3499 Len=0
10013,126.799306,172.16.64.10,10.80.0.50,TDS,93,Response
10014,126.79945,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10018,126.840326,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57214 Ack=1710845 Win=3499 Len=0
10024,126.884418,172.16.64.10,10.80.0.50,TDS,93,Response
10025,126.884543,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10030,126.925037,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57253 Ack=1712011 Win=3499 Len=0
10034,126.966938,172.16.64.10,10.80.0.50,TDS,93,Response
10035,126.967063,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10041,127.006972,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57292 Ack=1713177 Win=3499 Len=0
10049,127.051098,172.16.64.10,10.80.0.50,TDS,93,Response
10050,127.051198,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10054,127.091104,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57331 Ack=1714343 Win=3499 Len=0
10065,127.142058,172.16.64.10,10.80.0.50,TDS,93,Response
10066,127.142264,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10071,127.18201,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57370 Ack=1715509 Win=3499 Len=0
10078,127.225159,172.16.64.10,10.80.0.50,TDS,93,Response
10079,127.225281,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10084,127.265457,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57409 Ack=1716675 Win=3499 Len=0
10090,127.30836,172.16.64.10,10.80.0.50,TDS,93,Response
10091,127.308473,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10098,127.349403,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57448 Ack=1717841 Win=3499 Len=0
10105,127.391861,172.16.64.10,10.80.0.50,TDS,93,Response
10106,127.391976,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10108,127.432357,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57487 Ack=1719007 Win=3499 Len=0
10113,127.474818,172.16.64.10,10.80.0.50,TDS,93,Response
10114,127.474931,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10118,127.514989,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57526 Ack=1720173 Win=3499 Len=0
10125,127.562155,172.16.64.10,10.80.0.50,TDS,93,Response
10126,127.562318,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10131,127.602332,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57565 Ack=1721339 Win=3499 Len=0
10136,127.645413,172.16.64.10,10.80.0.50,TDS,93,Response
10137,127.645609,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10143,127.686346,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57604 Ack=1722505 Win=3499 Len=0
10147,127.727725,172.16.64.10,10.80.0.50,TDS,93,Response
10148,127.727878,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10150,127.768326,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57643 Ack=1723671 Win=3499 Len=0
10151,127.809924,172.16.64.10,10.80.0.50,TDS,93,Response
10152,127.810112,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10154,127.850204,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57682 Ack=1724839 Win=3499 Len=0
10156,127.894147,172.16.64.10,10.80.0.50,TDS,93,Response
10157,127.894306,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10159,127.934511,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57721 Ack=1726007 Win=3499 Len=0
10164,127.977694,172.16.64.10,10.80.0.50,TDS,93,Response
10165,127.97781,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10172,128.017971,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57760 Ack=1727175 Win=3499 Len=0
10177,128.065936,172.16.64.10,10.80.0.50,TDS,93,Response
10178,128.066105,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10181,128.106342,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57799 Ack=1728341 Win=3499 Len=0
10184,128.155058,172.16.64.10,10.80.0.50,TDS,93,Response
10185,128.155188,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10186,128.195518,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57838 Ack=1729507 Win=3499 Len=0
10187,128.238329,172.16.64.10,10.80.0.50,TDS,93,Response
10188,128.238461,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10189,128.279408,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57877 Ack=1730675 Win=3499 Len=0
10190,128.320573,172.16.64.10,10.80.0.50,TDS,93,Response
10191,128.320678,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10192,128.361047,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57916 Ack=1731843 Win=3499 Len=0
10193,128.402562,172.16.64.10,10.80.0.50,TDS,93,Response
10194,128.402676,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10195,128.403434,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57955 Ack=1733009 Win=3499 Len=0
10196,128.487075,172.16.64.10,10.80.0.50,TDS,93,Response
10197,128.4872,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10199,128.527504,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=57994 Ack=1734175 Win=3499 Len=0
10201,128.571476,172.16.64.10,10.80.0.50,TDS,93,Response
10202,128.571606,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10207,128.611946,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58033 Ack=1735341 Win=3499 Len=0
10226,128.654672,172.16.64.10,10.80.0.50,TDS,93,Response
10228,128.654767,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10256,128.6949,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58072 Ack=1736507 Win=3499 Len=0
10271,128.741959,172.16.64.10,10.80.0.50,TDS,93,Response
10272,128.742137,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10296,128.782045,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58111 Ack=1737673 Win=3499 Len=0
10300,128.825487,172.16.64.10,10.80.0.50,TDS,93,Response
10301,128.825806,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10337,128.865913,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58150 Ack=1738839 Win=3499 Len=0
10373,128.908649,172.16.64.10,10.80.0.50,TDS,93,Response
10374,128.908759,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10409,128.949088,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58189 Ack=1740005 Win=3499 Len=0
10440,128.997283,172.16.64.10,10.80.0.50,TDS,93,Response
10441,128.997413,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10462,129.038009,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58228 Ack=1741173 Win=3499 Len=0
10481,129.082713,172.16.64.10,10.80.0.50,TDS,93,Response
10482,129.082805,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10491,129.12295,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58267 Ack=1742341 Win=3499 Len=0
10523,129.166114,172.16.64.10,10.80.0.50,TDS,93,Response
10526,129.166243,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10543,129.206076,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58306 Ack=1743507 Win=3499 Len=0
10556,129.249686,172.16.64.10,10.80.0.50,TDS,93,Response
10557,129.249806,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10560,129.289945,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58345 Ack=1744673 Win=3499 Len=0
10587,129.333629,172.16.64.10,10.80.0.50,TDS,93,Response
10588,129.333796,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10611,129.373949,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58384 Ack=1745839 Win=3499 Len=0
10624,129.42529,172.16.64.10,10.80.0.50,TDS,93,Response
10625,129.425438,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10647,129.466139,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58423 Ack=1747005 Win=3499 Len=0
10649,129.512748,172.16.64.10,10.80.0.50,TDS,93,Response
10650,129.512909,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
10662,129.552927,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58462 Ack=1748173 Win=3499 Len=0
10682,129.602366,172.16.64.10,10.80.0.50,TDS,93,Response
10683,129.602472,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10684,129.602866,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58501 Ack=1749339 Win=3499 Len=0
10734,129.69119,172.16.64.10,10.80.0.50,TDS,93,Response
10735,129.691286,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10751,129.730993,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58540 Ack=1750505 Win=3499 Len=0
10781,129.802023,172.16.64.10,10.80.0.50,TDS,93,Response
10782,129.802228,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
10811,129.84194,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58579 Ack=1751671 Win=3499 Len=0
10845,129.892612,172.16.64.10,10.80.0.50,TDS,93,Response
10846,129.89272,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10868,129.932891,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58618 Ack=1752837 Win=3499 Len=0
10907,129.980653,172.16.64.10,10.80.0.50,TDS,93,Response
10908,129.980818,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
10948,130.021026,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58657 Ack=1754003 Win=3499 Len=0
10970,130.068679,172.16.64.10,10.80.0.50,TDS,93,Response
10971,130.068786,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11001,130.109077,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58696 Ack=1755169 Win=3499 Len=0
11025,130.154359,172.16.64.10,10.80.0.50,TDS,93,Response
11026,130.154453,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11067,130.195145,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58735 Ack=1756335 Win=3499 Len=0
11091,130.244385,172.16.64.10,10.80.0.50,TDS,93,Response
11092,130.244468,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
11120,130.28498,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58774 Ack=1757501 Win=3499 Len=0
11144,130.349441,172.16.64.10,10.80.0.50,TDS,93,Response
11145,130.349618,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
11171,130.389885,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58813 Ack=1758667 Win=3499 Len=0
11194,130.438822,172.16.64.10,10.80.0.50,TDS,93,Response
11195,130.438973,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
11224,130.479027,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58852 Ack=1759835 Win=3499 Len=0
11242,130.532351,172.16.64.10,10.80.0.50,TDS,93,Response
11243,130.532495,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11244,130.532945,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58891 Ack=1761001 Win=3499 Len=0
11304,130.627415,172.16.64.10,10.80.0.50,TDS,93,Response
11305,130.627508,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11335,130.667994,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58930 Ack=1762167 Win=3499 Len=0
11362,130.7126,172.16.64.10,10.80.0.50,TDS,93,Response
11363,130.712687,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11374,130.752946,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=58969 Ack=1763333 Win=3499 Len=0
11395,130.809956,172.16.64.10,10.80.0.50,TDS,93,Response
11396,130.81006,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11417,130.849905,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59008 Ack=1764499 Win=3499 Len=0
11442,130.894575,172.16.64.10,10.80.0.50,TDS,93,Response
11443,130.894725,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11474,130.934919,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59047 Ack=1765665 Win=3499 Len=0
11501,130.977838,172.16.64.10,10.80.0.50,TDS,93,Response
11502,130.97794,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11510,131.018001,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59086 Ack=1766831 Win=3499 Len=0
11547,131.06242,172.16.64.10,10.80.0.50,TDS,93,Response
11551,131.06266,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11571,131.103197,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59125 Ack=1767997 Win=3499 Len=0
11585,131.145295,172.16.64.10,10.80.0.50,TDS,93,Response
11586,131.145466,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11593,131.186285,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59164 Ack=1769163 Win=3499 Len=0
11598,131.228758,172.16.64.10,10.80.0.50,TDS,93,Response
11599,131.22887,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11603,131.268919,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59203 Ack=1770329 Win=3499 Len=0
11609,131.314887,172.16.64.10,10.80.0.50,TDS,93,Response
11610,131.315004,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
11615,131.35503,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59242 Ack=1771495 Win=3499 Len=0
11620,131.396326,172.16.64.10,10.80.0.50,TDS,93,Response
11621,131.396463,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11625,131.437101,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59281 Ack=1772661 Win=3499 Len=0
11628,131.511224,172.16.64.10,10.80.0.50,TDS,93,Response
11629,131.511368,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11631,131.552367,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59320 Ack=1773827 Win=3499 Len=0
11632,131.598039,172.16.64.10,10.80.0.50,TDS,93,Response
11633,131.59817,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11634,131.638502,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59359 Ack=1774993 Win=3499 Len=0
11635,131.681024,172.16.64.10,10.80.0.50,TDS,93,Response
11636,131.681197,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11638,131.721471,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59398 Ack=1776159 Win=3499 Len=0
11641,131.766731,172.16.64.10,10.80.0.50,TDS,93,Response
11642,131.766878,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11643,131.807375,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59437 Ack=1777325 Win=3499 Len=0
11644,131.851011,172.16.64.10,10.80.0.50,TDS,93,Response
11645,131.851141,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11646,131.891536,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59476 Ack=1778491 Win=3499 Len=0
11647,131.935261,172.16.64.10,10.80.0.50,TDS,93,Response
11648,131.93538,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
11649,131.976038,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=59515 Ack=1779657 Win=3499 Len=0
11650,132.017956,172.16.64.10,10.80.0.50,TDS,93,Response
11651,132.018106,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
